init start
company_info exists 
daily_price exists 
Not first trial
codes's size is [2449]
[2021-06-03 10:00] #0201 REPLACE INTO company_info VALUES (331380, 유진스팩5호, 2021-06-03)
[2021-06-03 10:00] #0202 REPLACE INTO company_info VALUES (178780, 유테크, 2021-06-03)
[2021-06-03 10:00] #0203 REPLACE INTO company_info VALUES (179900, 유티아이, 2021-06-03)
[2021-06-03 10:00] #0204 REPLACE INTO company_info VALUES (349720, 이베스트스팩5호, 2021-06-03)
[2021-06-03 10:00] #0205 REPLACE INTO company_info VALUES (323210, 이베스트이안스팩1호, 2021-06-03)
[2021-06-03 10:00] #0206 REPLACE INTO company_info VALUES (047560, 이스트소프트, 2021-06-03)
[2021-06-03 10:00] #0207 REPLACE INTO company_info VALUES (900110, 이스트아시아홀딩스, 2021-06-03)
[2021-06-03 10:00] #0208 REPLACE INTO company_info VALUES (123570, 이엠넷, 2021-06-03)
[2021-06-03 10:00] #0209 REPLACE INTO company_info VALUES (353810, 이지바이오, 2021-06-03)
[2021-06-03 10:00] #0210 REPLACE INTO company_info VALUES (079950, 인베니아, 2021-06-03)
[2021-06-03 10:00] #0211 REPLACE INTO company_info VALUES (064290, 인텍플러스, 2021-06-03)
[2021-06-03 10:00] #0212 REPLACE INTO company_info VALUES (254120, 자비스, 2021-06-03)
[2021-06-03 10:00] #0213 REPLACE INTO company_info VALUES (234920, 자이글, 2021-06-03)
[2021-06-03 10:00] #0214 REPLACE INTO company_info VALUES (040420, 정상제이엘에스, 2021-06-03)
[2021-06-03 10:00] #0215 REPLACE INTO company_info VALUES (079370, 제우스, 2021-06-03)
[2021-06-03 10:00] #0216 REPLACE INTO company_info VALUES (033320, 제이씨현시스템, 2021-06-03)
[2021-06-03 10:00] #0217 REPLACE INTO company_info VALUES (322510, 제이엘케이, 2021-06-03)
[2021-06-03 10:00] #0218 REPLACE INTO company_info VALUES (094970, 제이엠티, 2021-06-03)
[2021-06-03 10:00] #0219 REPLACE INTO company_info VALUES (080220, 제주반도체, 2021-06-03)
[2021-06-03 10:00] #0220 REPLACE INTO company_info VALUES (034940, 조아제약, 2021-06-03)
[2021-06-03 10:00] #0221 REPLACE INTO company_info VALUES (036930, 주성엔지니어링, 2021-06-03)
[2021-06-03 10:00] #0222 REPLACE INTO company_info VALUES (119850, 지엔씨에너지, 2021-06-03)
[2021-06-03 10:00] #0223 REPLACE INTO company_info VALUES (065060, 지엔코, 2021-06-03)
[2021-06-03 10:00] #0224 REPLACE INTO company_info VALUES (052300, 초록뱀컴퍼니, 2021-06-03)
[2021-06-03 10:00] #0225 REPLACE INTO company_info VALUES (071850, 캐스텍코리아, 2021-06-03)
[2021-06-03 10:00] #0226 REPLACE INTO company_info VALUES (342550, 케이비제20호스팩, 2021-06-03)
[2021-06-03 10:00] #0227 REPLACE INTO company_info VALUES (347140, 케이프이에스제4호, 2021-06-03)
[2021-06-03 10:00] #0228 REPLACE INTO company_info VALUES (042040, 케이피엠테크, 2021-06-03)
[2021-06-03 10:00] #0229 REPLACE INTO company_info VALUES (054410, 케이피티유, 2021-06-03)
[2021-06-03 10:00] #0230 REPLACE INTO company_info VALUES (274090, 켄코아에어로스페이스, 2021-06-03)
[2021-06-03 10:00] #0231 REPLACE INTO company_info VALUES (082660, 코스나인, 2021-06-03)
[2021-06-03 10:00] #0232 REPLACE INTO company_info VALUES (069110, 코스온, 2021-06-03)
[2021-06-03 10:00] #0233 REPLACE INTO company_info VALUES (102940, 코오롱생명과학, 2021-06-03)
[2021-06-03 10:00] #0234 REPLACE INTO company_info VALUES (126600, 코프라, 2021-06-03)
[2021-06-03 10:00] #0235 REPLACE INTO company_info VALUES (043590, 크로바하이텍, 2021-06-03)
[2021-06-03 10:00] #0236 REPLACE INTO company_info VALUES (139670, 키네마스터, 2021-06-03)
[2021-06-03 10:00] #0237 REPLACE INTO company_info VALUES (045340, 토탈소프트, 2021-06-03)
[2021-06-03 10:00] #0238 REPLACE INTO company_info VALUES (105550, 트루윈, 2021-06-03)
[2021-06-03 10:00] #0239 REPLACE INTO company_info VALUES (026150, 특수건설, 2021-06-03)
[2021-06-03 10:00] #0240 REPLACE INTO company_info VALUES (246710, 티앤알바이오팹, 2021-06-03)
[2021-06-03 10:00] #0241 REPLACE INTO company_info VALUES (131290, 티에스이, 2021-06-03)
[2021-06-03 10:00] #0242 REPLACE INTO company_info VALUES (033540, 파라텍, 2021-06-03)
